Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Luis Suárez,Liverpool,32,"AM(CLR),FW",33,2965,31,12,5.5,2.7,2.8,2,1,1.8,2.8,8.43
James Wilson,Manchester United,23,FW,1,64,2,-,4,-,-,-,-,-,-,8.04
Chris David,Fulham,24,Midfielder,0(1),67,1,-,3,2,1,2,-,5,1,8.02
Lukasz Fabianski,Arsenal,34,GK,1,90,-,-,-,-,-,-,-,-,-,7.90
Anders Lindegaard,Manchester United,35,GK,1,90,-,-,-,-,-,-,-,-,-,7.82
Steven Gerrard,Liverpool,39,M(C),33(1),2900,13,13,1.8,2,0.4,0.6,-,0.5,0.5,7.77
Aaron Ramsey,Arsenal,28,M(CR),20(3),1764,10,8,2.2,1.4,1.3,1.1,0.1,1.3,0.8,7.76
Marouane Fellaini,Everton,31,M(C),3,270,-,-,1.7,1,-,0.7,0.3,3,0.7,7.75
Sergio Agüero,Manchester City,31,"AM(CL),FW",20(3),1539,17,6,3.7,1.6,1.9,1,0.8,2.1,1.6,7.71
Eden Hazard,Chelsea,28,"M(CLR),FW",32(3),2898,14,7,2.1,2.7,3.8,2.5,0.3,2.3,1.9,7.68
Nemanja Matic,Chelsea,30,DMC,15(2),1364,-,4,0.8,1.4,1.4,0.7,0.1,1.1,1,7.63
Wayne Rooney,Manchester United,33,"M(CLR),FW",27(2),2448,17,10,3.5,1.9,1.4,1,0.5,2.3,1.6,7.62
David Silva,Manchester City,33,M(CLR),26(1),2174,7,9,2,3.2,1.1,1.5,0.1,2,1,7.57
Yaya Touré,Manchester City,36,M(C),35,2927,20,9,1.8,1.2,1.2,0.7,0.1,0.9,0.8,7.55
Mile Jedinak,Crystal Palace,34,"D(C),DMC",38,3389,1,1,0.9,0.9,0.3,1.2,-,0.4,0.4,7.55
Yohan Cabaye,Newcastle United,33,M(C),17(2),1509,7,2,3.3,1.7,0.3,0.7,-,0.7,0.9,7.48
Martin Skrtel,Liverpool,34,D(C),36,3222,7,1,0.4,0.2,0.3,0.3,-,0.1,0.3,7.46
Daniel Sturridge,Liverpool,29,"M(R),FW",26(3),2277,21,7,3.4,1,1.3,1.3,0.7,1.8,1.8,7.45
Mathieu Debuchy,Newcastle United,33,D(CR),28(1),2494,1,3,1.2,0.8,0.6,0.8,0.2,0.5,1,7.44
Coutinho,Liverpool,27,M(CLR),28(5),2338,5,7,2.8,2,1.8,1.2,0.1,1.5,1,7.44
Joe Lewis,Cardiff,31,GK,1,90,-,-,-,-,-,-,-,-,-,7.41
Raheem Sterling,Liverpool,24,"M(CLR),FW",24(9),2221,9,5,1.4,1.6,2.8,1.9,0.2,2,1.2,7.40
Fernandinho,Manchester City,34,"D(R),DMC",29(4),2609,5,3,1,1.2,1.1,0.7,-,0.8,0.8,7.40
Curtis Davies,Hull,34,D(C),37,3326,2,1,0.7,0.1,0.3,0.7,-,0.2,0.3,7.40
Martín Demichelis,Manchester City,38,D(C),27,2430,2,1,0.6,0.2,0.1,0.2,-,0.1,0.2,7.39
Bryan Oviedo,Everton,29,"D(L),M(L)",8(1),718,2,2,1.7,0.9,0.7,1.1,0.1,1.2,0.9,7.38
Olivier Giroud,Arsenal,32,FW,36,3083,16,8,3.1,1,0.7,1.6,0.8,2.2,2.7,7.36
Santi Cazorla,Arsenal,34,M(CLR),30(1),2597,4,8,2.4,2.2,1.6,1,0.1,1.4,1.8,7.36
Marcos Alonso,Sunderland,28,"D(CL),M(L)",16,1440,-,1,1.6,1.1,1,1.6,0.1,0.9,0.8,7.34
Laurent Koscielny,Arsenal,33,D(C),32,2742,2,-,0.4,0.1,0.1,0.5,-,0.3,0.3,7.34
Samir Nasri,Manchester City,32,M(CLR),29(5),2499,7,7,1.4,2.7,1.3,0.8,0.2,1.7,1,7.34
Seamus Coleman,Everton,30,"D(R),M(R)",36,3229,6,2,0.8,1.3,1.8,0.9,0.1,1,0.7,7.32
