Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Riyad Mahrez,Leicester,28,AM(CLR),36(1),3058,1.4,1,0.5,-,0.4,1.9,0.1,-,7.84
Dimitri Payet,West Ham,32,M(CLR),29(1),2573,0.8,0.8,0.4,-,0.1,0.8,-,-,7.74
Alexis Sánchez,Arsenal,30,"M(CLR),FW",28(2),2446,1.6,0.8,1.1,-,0.2,0.8,0.1,-,7.72
Mousa Dembélé,Tottenham,31,M(CR),27(2),2273,3.6,1.9,1.7,-,1.1,0.4,0.3,-,7.69
Mesut Özil,Arsenal,30,M(CLR),35,3049,1,0.6,0.6,-,0.3,1.2,-,-,7.66
N'Golo Kanté,Leicester,28,DMC,33(4),3020,4.7,4.2,1.2,-,1.5,1.6,0.3,-,7.61
Virgil van Dijk,Southampton,27,D(C),34,3060,1.7,2.8,0.8,0.3,7.6,0.3,0.6,-,7.56
Harry Kane,Tottenham,25,"AM(C),FW",38,3370,0.8,0.6,1.1,-,0.8,0.3,0.2,1,7.53
Santi Cazorla,Arsenal,34,M(CLR),15,1293,1.9,1.7,0.9,-,1,1.8,0.1,-,7.53
Jamie Vardy,Leicester,32,"AM(L),FW",36,3140,1,0.5,1.2,-,0.2,0.5,0.1,-,7.51
Christian Fuchs,Leicester,33,"D(CL),M(L)",30(2),2710,3.1,3.1,1,0.3,3.8,1.7,0.3,-,7.50
Jordan Amavi,Aston Villa,25,"D(L),M(L)",9(1),836,3.6,3.7,1.8,0.2,3.2,1.1,0.3,-,7.48
Laurent Koscielny,Arsenal,33,D(C),33,2847,1.4,3.8,0.9,0.9,5.6,0.4,0.8,-,7.48
Nicolás Otamendi,Manchester City,31,D(C),30,2672,3,3.5,1,0.8,7,1.4,0.4,-,7.47
Christian Eriksen,Tottenham,27,M(CLR),33(2),2942,1.3,1,0.4,-,0.7,0.7,-,-,7.45
Kevin De Bruyne,Manchester City,28,"M(CLR),FW",22(3),2004,1.1,0.7,0.6,-,0.5,1.9,-,-,7.45
Sergio Agüero,Manchester City,31,"AM(CL),FW",29(1),2375,0.5,0.2,0.7,-,-,0.6,-,-,7.39
Luke Shaw,Manchester United,23,"D(L),M(L)",5,450,1.8,1,1.6,0.6,3.8,1.4,0.4,-,7.36
Andros Townsend,Newcastle United,27,"AM(LR),FW",12(1),1089,2.1,0.8,0.5,0.1,0.6,1.9,0.2,-,7.35
Dele Alli,Tottenham,23,M(CL),28(5),2482,2.2,1.8,1.5,-,1,1.2,0.2,-,7.35
Michail Antonio,West Ham,29,"D(R),M(CLR),FW",23(3),2063,1.4,2.2,1,-,1.7,0.7,0.2,-,7.35
Ross Barkley,Everton,25,M(CLR),36(2),3087,0.9,0.4,0.8,-,0.5,0.7,0.1,-,7.31
Daniel Drinkwater,Leicester,29,DMC,35,3039,3,1.6,1.5,-,1.9,1.5,0.5,-,7.30
Coutinho,Liverpool,27,M(CLR),24(2),2005,1.3,0.7,0.4,-,0.3,1.3,-,-,7.29
Troy Deeney,Watford,31,FW,36(2),3293,1.3,0.4,1.3,0.1,1.3,0.6,0.1,1,7.28
Vincent Kompany,Manchester City,33,D(C),13(1),1179,1.4,1.6,1.1,0.7,5.6,0.5,0.3,-,7.28
David Silva,Manchester City,33,M(CLR),22(2),1802,1.5,0.7,0.8,-,0.1,1.5,-,-,7.28
Lamine Koné,Sunderland,30,D(C),15,1315,1.8,2.1,0.3,0.9,9.2,0.4,0.7,-,7.27
Cédric Soares,Southampton,27,"D(R),M(R)",23(1),1971,3,2.3,0.8,0.1,2.8,0.6,0.5,-,7.27
Cheikhou Kouyaté,West Ham,29,"D(CR),DMC",34,3010,2.8,2.2,1.1,0.1,1.7,1.5,0.4,-,7.26
Kieran Trippier,Tottenham,28,"D(R),M(R)",5(1),458,2.3,1.8,0.5,-,2,0.3,0.3,-,7.26
Nacho Monreal,Arsenal,33,"D(CL),M(L)",36(1),3248,2.1,2.9,0.8,0.2,3.1,0.8,0.3,-,7.26
Danny Rose,Tottenham,28,"D(L),M(L)",24,2132,2.8,1.6,1.7,0.1,3.3,0.8,0.5,-,7.25
Idrissa Gueye,Aston Villa,29,M(C),35,3076,4.1,4,1.9,-,0.9,0.9,0.2,-,7.25
Sébastien Pocognoli,West Bromwich Albion,31,D(L),0(1),35,-,1,-,-,3,-,-,-,7.24
Gaël Clichy,Manchester City,33,D(L),12(2),1088,2,3.6,0.7,0.4,2.9,0.9,0.2,-,7.24
Gabriel Paulista,Arsenal,28,D(CR),18(3),1762,2,2.9,0.4,1,5.4,0.5,0.6,-,7.23
Anthony Martial,Manchester United,23,"AM(LR),FW",29(2),2632,0.7,0.3,1.3,-,0.6,0.6,0.1,-,7.23
Yohan Cabaye,Crystal Palace,33,M(C),32(1),2704,3.2,3.6,1.2,-,0.5,1.9,0.2,-,7.23
Yaya Touré,Manchester City,36,M(C),28(4),2335,1.3,0.8,0.8,-,1.1,1.3,0.1,-,7.22
Aaron Ramsey,Arsenal,28,M(CR),29(2),2624,2.5,1.8,1.5,-,0.6,2.1,0.4,-,7.21
Timm Klose,Norwich,31,D(C),10,850,1.4,2.4,0.6,0.8,10.2,0.6,1,1,7.21
Manuel Lanzini,West Ham,26,AM(CLR),23(3),1921,1.3,0.9,0.3,-,0.2,0.8,0.1,-,7.21
James Milner,Liverpool,33,"D(LR),M(CLR)",28,2416,2.5,1.3,1.7,-,0.8,1.9,0.1,-,7.21
Phil Jagielka,Everton,36,D(CR),21,1852,1.9,2.4,0.4,0.5,8.1,0.6,1,-,7.20
Jonny Evans,West Bromwich Albion,31,D(CL),30,2593,2.4,3,0.8,0.3,3.4,0.8,0.9,-,7.20
Willian,Chelsea,30,AM(CLR),32(3),2751,1.2,0.6,0.8,-,0.1,0.8,-,-,7.20
Roberto Firmino,Liverpool,27,"M(CLR),FW",24(7),1982,2.2,0.5,0.9,-,0.4,0.9,0.1,-,7.19
Kyle Walker,Tottenham,29,"D(CR),M(R)",33,2943,2.6,2.8,0.9,0.3,3.2,0.8,0.2,1,7.19
Ashley Williams,Swansea,34,D(C),36,3240,1.9,2.8,0.8,0.6,8.7,0.4,1.2,-,7.19
Héctor Bellerín,Arsenal,24,"D(R),M(R)",36,3240,1.6,1.8,0.5,-,2.4,0.6,0.2,-,7.19
Younes Kaboul,Sunderland,33,D(C),22(1),2009,1.9,2.3,0.7,0.3,8.6,0.5,0.9,-,7.18
Winston Reid,West Ham,30,D(C),24,2136,1.9,3.2,1,0.7,6.5,0.5,1,1,7.18
Ramiro Funes Mori,Everton,28,"D(C),DMC",24(4),2191,1.5,2.4,0.3,0.7,7.8,0.6,0.4,-,7.18
Fernandinho,Manchester City,34,"D(R),DMC",31(2),2732,3.2,1.7,1.7,0.2,1.3,1.8,0.2,-,7.17
Chris Smalling,Manchester United,29,D(CR),35,3150,1.6,2.8,1.3,0.5,5.1,0.4,0.5,1,7.17
Toby Alderweireld,Tottenham,30,D(CR),38,3420,1.2,1.7,0.2,1.2,7.5,0.4,0.9,-,7.16
Simon Francis,Bournemouth,34,D(CR),38,3387,2.8,2.3,0.9,0.5,5.4,0.8,0.6,-,7.16
Romelu Lukaku,Everton,26,"AM(R),FW",36(1),3177,0.4,-,0.8,-,0.1,0.2,0.1,-,7.16
Robbie Brady,Norwich,27,"D(L),M(CLR)",34(2),2988,2.8,1.6,1.1,0.2,2.4,1,0.1,-,7.15
Robert Huth,Leicester,34,D(C),35,3150,1.2,2.2,1,0.5,7.4,0.3,1,-,7.15
Erik Lamela,Tottenham,27,AM(CLR),28(6),2385,2.4,0.8,1.9,-,0.1,1.5,0.1,-,7.15
Mark Noble,West Ham,32,M(C),37,3205,2.8,2.2,1,-,0.5,1.9,0.3,-,7.15
Nathan Aké,Watford,24,"D(CL),DMC",20(4),1875,3.3,3.2,1.2,0.3,3,0.6,0.3,-,7.15
Sadio Mané,Southampton,27,"AM(CLR),FW",30(7),2608,1.5,0.9,1.2,0.1,0.4,0.5,0.1,-,7.14
Daley Blind,Manchester United,29,"D(CL),DMC,M(L)",35,3117,2.7,2.3,0.8,0.5,3.4,0.8,0.6,-,7.14
Yannick Bolasie,Crystal Palace,30,"AM(LR),FW",23(3),2077,1,0.4,1,-,1,0.9,0.2,-,7.14
Cesc Fàbregas,Chelsea,32,"M(CL),FW",33(4),2899,2.8,0.6,1,-,0.5,2,0.2,-,7.14
Aleksandar Kolarov,Manchester City,33,"D(CL),M(L)",25(4),2282,1.2,1.6,0.7,0.2,2.4,0.7,0.3,-,7.14
Jordan Henderson,Liverpool,29,M(CLR),15(2),1293,2.4,1.3,0.6,0.1,1,1,0.1,-,7.14
Danny Simpson,Leicester,32,D(R),30,2613,1.7,3.1,1,0.3,4.2,0.7,0.6,-,7.13
Brede Hangeland,Crystal Palace,38,D(C),7,630,1.4,1.4,1.9,0.7,8.6,0.6,0.7,-,7.13
Bacary Sagna,Manchester City,36,D(CR),27(1),2448,1.8,1.8,0.6,0.4,3.5,0.7,0.3,-,7.12
Daniel Sturridge,Liverpool,29,"M(R),FW",11(3),980,0.2,0.2,0.1,-,0.3,0.2,-,-,7.12
Patrick van Aanholt,Sunderland,28,"D(L),M(L)",33,2970,2.6,1.9,0.5,0.1,3.1,1.2,0.3,-,7.11
David Ospina,Arsenal,30,GK,4,360,-,-,-,-,0.3,-,-,-,7.11
Eden Hazard,Chelsea,28,"M(CLR),FW",25(6),2192,0.7,0.4,0.5,-,0.1,0.5,-,-,7.11
Francis Coquelin,Arsenal,28,M(CLR),21(5),1647,2.8,3,0.9,-,0.8,0.8,0.3,-,7.10
Yann M'Vila,Sunderland,29,M(C),36(1),3189,2.7,2.3,0.5,0.1,3,1.4,0.2,-,7.10
Lucas Leiva,Liverpool,32,"D(C),M(C)",21(6),1953,4,1.9,1.8,0.1,1,1.4,0.3,-,7.08
Jan Kirchhoff,Sunderland,28,"D(C),DMC",14(1),1084,3.5,2.1,1.3,0.1,3.5,2.1,0.2,-,7.08
Karl Darlow,Newcastle United,28,GK,9,810,0.1,-,-,-,1.6,-,-,-,7.08
Diego Costa,Chelsea,30,FW,27(1),2379,0.8,0.2,1.5,-,0.9,0.5,0.1,-,7.08
Graziano Pellè,Southampton,33,FW,23(7),2174,0.5,0.3,1.3,-,1,0.1,-,-,7.08
Adam Lallana,Liverpool,31,AM(CLR),23(7),2113,2,0.7,0.9,-,1.2,1.1,0.1,-,7.08
Wes Morgan,Leicester,35,D(C),38,3420,1.3,2.5,0.7,0.7,5.7,0.2,1.1,-,7.07
Mamadou Sakho,Liverpool,29,D(C),21(1),1855,1.4,1.7,0.4,0.4,6.2,0.3,1,-,7.07
Heurelho Gomes,Watford,38,GK,38,3397,0.1,0.1,0.1,-,2,-,-,-,7.07
Dusan Tadic,Southampton,30,"AM(CLR),FW",27(7),2293,1.1,0.7,0.7,-,0.5,0.7,0.1,-,7.07
Giannelli Imbula,Stoke,26,M(C),14,1260,1,0.5,1.2,-,0.4,0.8,0.1,-,7.07
Olivier Giroud,Arsenal,32,FW,26(12),2431,0.9,0.3,1.1,-,0.7,0.6,0.1,1,7.07
Wayne Rooney,Manchester United,33,"M(CLR),FW",27(1),2410,1,0.3,1,-,0.5,0.6,0.3,-,7.06
